State,Division,Date,Value
Kentucky,East_South_Central,2023-02,1191.0
Mississippi,East_South_Central,2023-02,656.0
Tennessee,East_South_Central,2023-02,4633.0
Arkansas,West_South_Central,2023-02,948.0
Louisiana,West_South_Central,2023-02,991.0
Oklahoma,West_South_Central,2023-02,797.0
Texas,West_South_Central,2023-02,17363.0
Arizona,Mountain,2023-02,4600.0
Colorado,Mountain,2023-02,3247.0
Idaho,Mountain,2023-02,1060.0
Montana,Mountain,2023-02,380.0
Nevada,Mountain,2023-02,1041.0
New_Mexico,Mountain,2023-02,397.0
Utah,Mountain,2023-02,2342.0
Wyoming,Mountain,2023-02,77.0
Alaska,Pacific,2023-02,80.0
California,Pacific,2023-02,8275.0
Hawaii,Pacific,2023-02,203.0
Oregon,Pacific,2023-02,1519.0
Washington,Pacific,2023-02,4205.0
Connecticut,New_England,2023-01,682.0
Maine,New_England,2023-01,255.0
Massachusetts,New_England,2023-01,1088.0
New_Hampshire,New_England,2023-01,269.0
Rhode_Island,New_England,2023-01,79.0
Vermont,New_England,2023-01,71.0
New_Jersey,Middle_Atlantic,2023-01,2482.0
New_York,Middle_Atlantic,2023-01,1258.0
Pennsylvania,Middle_Atlantic,2023-01,1304.0
Illinois,East_North_Central,2023-01,978.0
Indiana,East_North_Central,2023-01,1529.0
Michigan,East_North_Central,2023-01,1187.0
Ohio,East_North_Central,2023-01,1150.0
Wisconsin,East_North_Central,2023-01,908.0
Iowa,West_North_Central,2023-01,355.0
Kansas,West_North_Central,2023-01,492.0
Minnesota,West_North_Central,2023-01,1366.0
Missouri,West_North_Central,2023-01,1028.0
Nebraska,West_North_Central,2023-01,429.0
North_Dakota,West_North_Central,2023-01,137.0
South_Dakota,West_North_Central,2023-01,261.0
Delaware,South_Atlantic,2023-01,412.0
District_of_Columbia,South_Atlantic,2023-01,800.0
Florida,South_Atlantic,2023-01,14964.0
Georgia,South_Atlantic,2023-01,5940.0
Maryland,South_Atlantic,2023-01,1502.0
North_Carolina,South_Atlantic,2023-01,7066.0
South_Carolina,South_Atlantic,2023-01,3018.0
Virginia,South_Atlantic,2023-01,3272.0
West_Virginia,South_Atlantic,2023-01,190.0
Alabama,East_South_Central,2023-01,1250.0
Kentucky,East_South_Central,2023-01,937.0
Mississippi,East_South_Central,2023-01,585.0
Tennessee,East_South_Central,2023-01,2367.0
Arkansas,West_South_Central,2023-01,1034.0
Louisiana,West_South_Central,2023-01,1392.0
Oklahoma,West_South_Central,2023-01,641.0
Texas,West_South_Central,2023-01,16847.0
Arizona,Mountain,2023-01,2033.0
Colorado,Mountain,2023-01,3235.0
Idaho,Mountain,2023-01,922.0
Montana,Mountain,2023-01,225.0
Nevada,Mountain,2023-01,1476.0
New_Mexico,Mountain,2023-01,581.0
Utah,Mountain,2023-01,1776.0
Wyoming,Mountain,2023-01,68.0
Alaska,Pacific,2023-01,101.0
California,Pacific,2023-01,7138.0
Hawaii,Pacific,2023-01,176.0
Oregon,Pacific,2023-01,1484.0
Washington,Pacific,2023-01,2258.0
Connecticut,New_England,2022-12,525.0
Maine,New_England,2022-12,333.0
Massachusetts,New_England,2022-12,1510.0
New_Hampshire,New_England,2022-12,292.0
Rhode_Island,New_England,2022-12,85.0
Vermont,New_England,2022-12,108.0
New_Jersey,Middle_Atlantic,2022-12,3354.0
New_York,Middle_Atlantic,2022-12,2411.0
Pennsylvania,Middle_Atlantic,2022-12,1955.0
Illinois,East_North_Central,2022-12,1673.0
Indiana,East_North_Central,2022-12,1552.0
Michigan,East_North_Central,2022-12,1238.0
Ohio,East_North_Central,2022-12,1483.0
Wisconsin,East_North_Central,2022-12,1024.0
Iowa,West_North_Central,2022-12,711.0
Kansas,West_North_Central,2022-12,420.0
Minnesota,West_North_Central,2022-12,1556.0
Missouri,West_North_Central,2022-12,1072.0
Nebraska,West_North_Central,2022-12,396.0
North_Dakota,West_North_Central,2022-12,98.0
South_Dakota,West_North_Central,2022-12,239.0
Delaware,South_Atlantic,2022-12,404.0
District_of_Columbia,South_Atlantic,2022-12,1000.0
Florida,South_Atlantic,2022-12,14958.0
Georgia,South_Atlantic,2022-12,4592.0
Maryland,South_Atlantic,2022-12,1297.0
North_Carolina,South_Atlantic,2022-12,5062.0
South_Carolina,South_Atlantic,2022-12,2937.0
Virginia,South_Atlantic,2022-12,2696.0
West_Virginia,South_Atlantic,2022-12,183.0
Alabama,East_South_Central,2022-12,1161.0
Kentucky,East_South_Central,2022-12,1098.0
Mississippi,East_South_Central,2022-12,437.0
Tennessee,East_South_Central,2022-12,2104.0
Arkansas,West_South_Central,2022-12,635.0
Louisiana,West_South_Central,2022-12,938.0
Oklahoma,West_South_Central,2022-12,947.0
Texas,West_South_Central,2022-12,15629.0
Arizona,Mountain,2022-12,5252.0
Colorado,Mountain,2022-12,2943.0
Idaho,Mountain,2022-12,644.0
Montana,Mountain,2022-12,466.0
Nevada,Mountain,2022-12,883.0
New_Mexico,Mountain,2022-12,471.0
Utah,Mountain,2022-12,1907.0
Wyoming,Mountain,2022-12,82.0
Alaska,Pacific,2022-12,70.0
California,Pacific,2022-12,8220.0
Hawaii,Pacific,2022-12,189.0
Oregon,Pacific,2022-12,1735.0
Washington,Pacific,2022-12,3445.0
Connecticut,New_England,2022-11,492.0
Maine,New_England,2022-11,369.0
Massachusetts,New_England,2022-11,1293.0
New_Hampshire,New_England,2022-11,319.0
Rhode_Island,New_England,2022-11,66.0
Vermont,New_England,2022-11,119.0
New_Jersey,Middle_Atlantic,2022-11,2792.0
New_York,Middle_Atlantic,2022-11,2140.0
Pennsylvania,Middle_Atlantic,2022-11,2241.0
Illinois,East_North_Central,2022-11,1534.0
Indiana,East_North_Central,2022-11,1857.0
Michigan,East_North_Central,2022-11,1026.0
Ohio,East_North_Central,2022-11,3122.0
Wisconsin,East_North_Central,2022-11,1846.0
Iowa,West_North_Central,2022-11,954.0
Kansas,West_North_Central,2022-11,460.0
Minnesota,West_North_Central,2022-11,1870.0
Missouri,West_North_Central,2022-11,1393.0
Nebraska,West_North_Central,2022-11,1070.0
North_Dakota,West_North_Central,2022-11,163.0
South_Dakota,West_North_Central,2022-11,297.0
Delaware,South_Atlantic,2022-11,498.0
District_of_Columbia,South_Atlantic,2022-11,988.0
Florida,South_Atlantic,2022-11,12504.0
Georgia,South_Atlantic,2022-11,5516.0
Maryland,South_Atlantic,2022-11,1102.0
North_Carolina,South_Atlantic,2022-11,7276.0
